user_id,watch_instance_id,watched_at,video_id,duration,watched_duration
276080,27428444,2021-08-03 01:42:09.088438+00:00,33013,1279,1279
276967,26212755,2021-07-13 03:34:46.525604+00:00,44414,1951,33
276967,26213022,2021-07-13 03:43:14.481359+00:00,44412,1755,506
277267,26301836,2021-07-14 12:03:35.070883+00:00,31594,1177,0
277267,26289262,2021-07-14 08:22:14.399807+00:00,31592,369,369
277267,26289268,2021-07-14 08:22:23.468778+00:00,31593,1032,6
277753,26823588,2021-07-23 11:47:41.240355+00:00,28423,1249,1249
277753,26861197,2021-07-24 05:41:00.229978+00:00,28449,1039,1039
277753,27188693,2021-07-29 15:43:23.385758+00:00,28111,54,54
277753,27189581,2021-07-29 15:54:20.209089+00:00,28241,964,893
277753,26547847,2021-07-18 15:41:36.408314+00:00,27719,722,722
277753,26548985,2021-07-18 16:00:22.100593+00:00,41876,1898,4
277753,26608375,2021-07-19 16:22:08.692669+00:00,45858,417,0
277753,26608517,2021-07-19 16:24:41.698828+00:00,44787,1414,91
277753,26692606,2021-07-21 06:59:33.222350+00:00,27722,2389,27
277753,26743718,2021-07-22 05:03:56.926132+00:00,29117,1238,1238
277753,27217817,2021-07-30 06:24:12.462068+00:00,28179,1375,1347
277753,26967747,2021-07-26 05:00:13.916576+00:00,28450,1070,1055
277753,26495836,2021-07-17 17:05:07.323389+00:00,28297,1540,1525
277753,26548863,2021-07-18 15:57:58.446733+00:00,29911,1200,91
278101,26411509,2021-07-16 09:41:17.716711+00:00,5863,672,672
278101,27281919,2021-07-31 08:36:02.831344+00:00,5872,908,908
278101,26534608,2021-07-18 11:44:57.826538+00:00,5865,912,912
278101,26470797,2021-07-17 09:51:39.586213+00:00,5864,938,0
278101,26223649,2021-07-13 07:05:47.401441+00:00,5860,1032,1032
278101,26220775,2021-07-13 06:23:34.471521+00:00,24108,0,126
278101,26221268,2021-07-13 06:31:15.124711+00:00,5859,369,369
278101,27238961,2021-07-30 12:43:45.698618+00:00,5870,955,0
278101,26548873,2021-07-18 15:58:10.894362+00:00,5866,842,842
278101,26694364,2021-07-21 07:26:15.939293+00:00,5868,651,535
278101,26691644,2021-07-21 06:45:40.098060+00:00,5867,690,457
278101,26709603,2021-07-21 11:55:18.685020+00:00,31592,369,50
278101,26704912,2021-07-21 10:27:52.581584+00:00,5869,649,649
278101,26308113,2021-07-14 14:01:58.761489+00:00,5861,666,1
278101,26367765,2021-07-15 13:54:32.724986+00:00,5862,691,691
