user_id,attempt_id,started_at,status,no_of_questions,question_attempted
102410,51986167,None,COMPLETE,10,10
102410,51986788,None,PAUSE,10,10
102410,51986823,None,COMPLETE,10,10
102410,51987198,None,CREATE,10,0
102410,51987237,None,CREATE,10,0
78409,51987287,None,COMPLETE,30,30
102410,51987398,None,COMPLETE,10,10
38599,51987705,None,COMPLETE,20,20
102410,51987714,None,COMPLETE,10,10
102410,51987804,None,COMPLETE,10,10
78409,51988357,None,CREATE,30,0
38599,51988630,None,COMPLETE,20,20
96887,51988952,None,COMPLETE,10,10
96887,51989143,None,CREATE,10,0
102410,51989343,None,COMPLETE,10,10
102410,51989469,None,COMPLETE,10,10
38599,51989778,2021-06-18 13:35:14.539954+00:00,COMPLETE,20,20
38599,51989798,2021-06-21 04:30:45.785105+00:00,COMPLETE,20,20
78409,51990181,None,COMPLETE,10,0
91086,51990331,None,COMPLETE,10,10
91086,51990659,None,PAUSE,10,10
102410,51990779,None,COMPLETE,10,10
102410,51991210,None,CREATE,10,0
102410,51993709,None,COMPLETE,10,10
102410,51994002,None,CREATE,10,0
92058,51994090,None,COMPLETE,20,20
102410,51994095,None,CREATE,10,0
92058,51994737,None,CREATE,20,0
30582,51994791,2021-06-17 11:20:52.174188+00:00,COMPLETE,5,5
30582,51995031,2021-06-17 11:39:17.621330+00:00,COMPLETE,5,5
35674,51995983,2021-06-17 11:37:46.127028+00:00,COMPLETE,60,60
30582,51996136,None,CREATE,5,0
81990,51998382,2021-06-28 10:51:00.897431+00:00,COMPLETE,5,5
28531,51998984,None,COMPLETE,20,20
60166,52000006,None,COMPLETE,31,31
78409,52000065,None,COMPLETE,30,12
97285,52000740,None,COMPLETE,30,30
2610,52000903,None,COMPLETE,20,20
48595,52001085,2021-07-27 10:47:17.043953+00:00,COMPLETE,10,10
91932,52001184,None,COMPLETE,5,5
78409,52001253,None,CREATE,30,0
91932,52001437,2021-06-20 04:28:40.787832+00:00,COMPLETE,5,5
2610,52001732,None,CREATE,20,0
8062,52002503,2021-06-17 13:06:01.129842+00:00,COMPLETE,20,20
8062,52002776,None,CREATE,20,0
89201,52003524,None,COMPLETE,10,10
8062,52004585,2021-06-17 13:31:18.019942+00:00,COMPLETE,20,18
89386,52004808,None,COMPLETE,20,20
60166,52005187,None,CREATE,31,0
102410,52005245,None,COMPLETE,10,10
97285,52005301,None,CREATE,30,0
89386,52005569,None,COMPLETE,20,20
97285,52005593,None,COMPLETE,30,30
60166,52005724,None,COMPLETE,20,20
89386,52005956,2021-08-02 16:15:47.099953+00:00,COMPLETE,20,20
98718,52005997,2021-06-17 13:48:31.217547+00:00,PROGRESS,10,10
97285,52006647,None,CREATE,30,0
60166,52006660,None,PAUSE,10,10
97285,52006675,None,COMPLETE,30,0
60166,52006688,None,CREATE,20,0
48595,52006703,2021-07-27 10:54:46.158353+00:00,COMPLETE,10,10
7102,52006943,2021-06-17 14:00:00.145224+00:00,COMPLETE,6,6
7102,52007172,2021-06-17 14:02:42.560934+00:00,COMPLETE,6,4
2610,52007213,None,COMPLETE,20,20
48595,52007752,2021-06-17 14:09:32.372153+00:00,COMPLETE,10,10
48595,52008016,2021-07-27 11:05:24.720706+00:00,COMPLETE,10,10
102410,52008924,None,COMPLETE,20,20
21760,52009926,None,CREATE,30,0
26580,52010027,2021-06-17 14:32:36.357338+00:00,COMPLETE,30,30
32455,52010533,None,COMPLETE,9,9
32455,52010693,None,CREATE,9,0
89201,52011322,None,COMPLETE,10,10
89201,52011420,None,CREATE,10,0
26580,52011463,None,CREATE,30,0
104666,52011613,None,CREATE,30,0
104666,52011748,None,PAUSE,73,73
7102,52011900,None,COMPLETE,10,0
7102,52012352,None,CREATE,10,0
72616,52013132,None,PAUSE,10,10
20603,52013181,None,COMPLETE,10,0
20603,52013219,2021-06-17 15:50:14.876731+00:00,COMPLETE,10,10
21068,52013884,None,CREATE,5,0
97285,52014274,None,CREATE,30,0
102410,52015065,None,COMPLETE,20,20
105225,52016366,None,COMPLETE,10,10
96887,52016565,None,COMPLETE,10,10
7102,52016820,2021-06-17 15:42:32.005508+00:00,COMPLETE,6,6
7102,52016997,2021-06-17 15:44:47.316478+00:00,COMPLETE,6,6
96887,52017140,None,COMPLETE,10,10
7102,52017186,2021-06-17 15:46:53.369582+00:00,COMPLETE,6,6
7102,52017391,2021-06-17 15:49:29.385009+00:00,COMPLETE,6,6
20603,52017749,None,CREATE,10,0
89386,52018214,None,COMPLETE,20,8
105377,52018747,None,COMPLETE,5,5
105377,52019374,None,CREATE,5,0
102410,52021285,None,COMPLETE,20,20
73700,52021607,None,COMPLETE,5,5
73700,52021985,None,CREATE,5,0
73700,52022038,None,COMPLETE,5,5
73700,52022296,None,COMPLETE,5,5
73700,52022695,None,CREATE,5,0
29403,52024087,2021-06-17 16:56:30.271017+00:00,COMPLETE,4,4
105225,52024192,None,COMPLETE,10,10
105225,52024323,None,CREATE,10,0
29403,52024327,None,CREATE,4,0
29403,52024336,2021-06-17 16:58:50.027333+00:00,COMPLETE,4,4
29403,52024590,None,CREATE,4,0
29403,52024595,2021-06-17 17:01:18.348926+00:00,COMPLETE,4,4
29403,52024822,None,CREATE,4,0
29403,52024829,2021-06-17 17:03:40.324660+00:00,COMPLETE,4,4
29403,52025048,None,CREATE,4,0
72616,52025455,None,PAUSE,10,10
47954,52025733,None,CREATE,20,0
61874,52027401,None,CREATE,20,0
1831,52027523,None,CREATE,10,0
35674,52030033,2021-06-17 18:02:11.001433+00:00,COMPLETE,60,60
98718,52030100,2021-06-17 18:02:47.792461+00:00,COMPLETE,10,5
106343,52030227,2021-06-17 18:09:45.636500+00:00,COMPLETE,10,9
106343,52030271,None,CREATE,10,0
35674,52031095,2021-06-18 08:21:25.574748+00:00,COMPLETE,60,60
106343,52031572,2021-06-17 18:22:55.309571+00:00,PROGRESS,10,10
98718,52031740,None,CREATE,10,0
98718,52031752,2021-06-17 18:25:23.163766+00:00,COMPLETE,10,5
20603,52031868,None,CREATE,30,0
20603,52032134,None,CREATE,50,0
20603,52032166,2021-06-17 18:33:52.380816+00:00,COMPLETE,0,0
20603,52032229,None,CREATE,0,0
20603,52032236,2021-06-17 18:35:43.050944+00:00,COMPLETE,0,0
20603,52032339,2021-06-17 18:37:54.767455+00:00,COMPLETE,0,0
20603,52032412,None,CREATE,0,0
20603,52032418,None,CREATE,0,0
20740,52032504,2021-06-17 18:41:58.177537+00:00,COMPLETE,20,19
20740,52032647,2021-06-29 09:27:42.459993+00:00,COMPLETE,20,20
98718,52033304,2021-06-17 19:04:10.007994+00:00,PROGRESS,10,10
106598,52034998,None,COMPLETE,10,10
106711,52036094,None,CREATE,200,0
30582,52036833,2021-06-18 00:51:12.632769+00:00,COMPLETE,20,20
30582,52036980,None,CREATE,20,0
30582,52037005,2021-06-18 00:57:37.886941+00:00,COMPLETE,20,20
42048,52037488,None,COMPLETE,10,10
42048,52037638,None,COMPLETE,10,10
42048,52037716,2021-07-15 02:42:14.875843+00:00,COMPLETE,10,10
105225,52039336,None,COMPLETE,10,10
2610,52040379,None,COMPLETE,20,20
63748,52041213,2021-06-28 14:18:18.429472+00:00,COMPLETE,10,10
42048,52042697,None,COMPLETE,20,20
42048,52042992,None,CREATE,20,0
106963,52043270,None,COMPLETE,10,10
106963,52043352,None,COMPLETE,10,10
106963,52043407,None,COMPLETE,10,10
106963,52043950,None,COMPLETE,10,10
106963,52044067,None,CREATE,10,0
43158,52044102,2021-06-18 03:50:10.369644+00:00,COMPLETE,6,6
106963,52044135,None,COMPLETE,10,10
43158,52044186,2021-06-18 03:51:56.691679+00:00,COMPLETE,6,6
106963,52044228,None,CREATE,10,0
89386,52044466,2021-06-18 06:55:37.143745+00:00,COMPLETE,20,20
2610,52044520,None,COMPLETE,20,20
95712,52044787,None,COMPLETE,10,10
95712,52045024,None,COMPLETE,10,10
95712,52045179,None,COMPLETE,10,10
