user_id,track_slug,subscription_date
139721,OP_KWA,2021-06-22
139721,Public_Speaking,2021-06-22
139721,MPGOVT,2021-06-22
139721,VIDEO-TEST,2021-07-16
139721,KPSC_Driver,2021-06-22
139721,cet,2021-06-22
139721,EEE,2021-06-22
139721,ENTRI_GOLD,2021-07-27
139721,Stock_mar,2021-06-22
139721,Computer_Tech,2021-06-22
139721,APPSC,2021-06-22
139721,GATE_Civil,2021-06-22
139721,Civil_Tech,2021-06-22
139721,GATE_Electronics,2021-06-22
139721,Spoken_eng_hindi,2021-06-22
139721,Youtube_telugu,2021-06-22
139721,GATE_Mechanical,2021-06-22
139721,Anb_eng,2021-06-22
139721,Staff_Nurse,2021-06-22
139721,Eng_With_Awal,2021-06-22
139721,Digi_Mark,2021-06-22
139721,Mech_Tech,2021-06-22
139721,SE_Junior,2021-06-22
139721,GATE-Electrical,2021-06-22
139721,STUH,2021-06-22
139721,UPGOVT,2021-06-22
139721,Eng_Inver_Coc,2021-06-22
139721,K_HSA,2021-06-22
139721,Kerala_AS,2021-06-22
139721,KTET,2021-06-22
139721,rrb,2021-06-22
139721,EC_Tech,2021-06-22
139721,Quant_Easy,2021-06-22
139721,Tet,2021-06-22
139721,Busi_Course,2021-06-22
139721,Fin_Acc,2021-06-22
139721,DSSSB,2021-06-22
139721,Arts_Sales,2021-06-22
139721,SUPERTET,2021-06-22
139721,Apti_ess,2021-06-22
139721,NET,2021-06-22
139721,karnataka-psc,2021-06-22
139721,CO-BANK,2021-07-16
139721,ssc,2021-06-22
140453,Spoken_eng_hindi,2021-06-22
140697,kerala-psc,2021-06-22
140697,NET,2021-06-22
141215,kerala-psc,2021-06-22
141215,OP_KWA,2021-07-17
141215,Eng_Inver_Coc,2021-07-19
141298,Spoken_eng_hindi,2021-06-22
141525,kerala-psc,2021-06-22
141591,Eng_Inver_Coc,2021-06-22
141836,Spoken_eng_hindi,2021-06-22
141844,kerala-psc,2021-06-22
142234,Spoken_eng_hindi,2021-06-22
142315,kerala-psc,2021-06-22
142315,NET,2021-07-17
142885,Spoken_eng_hindi,2021-06-22
144412,PCB_Tech,2021-06-23
144412,kerala-psc,2021-07-30
144649,Spoken_eng_hindi,2021-06-23
144826,kerala-psc,2021-06-23
145199,Apti_ess,2021-06-23
145829,Spoken_eng_hindi,2021-06-23
146028,Spoken_eng_hindi,2021-06-23
146116,Apti_ess,2021-06-23
147198,Spoken_eng_hindi,2021-06-23
147358,PCB_Tech,2021-06-24
147358,kerala-psc,2021-06-24
147358,Digi_Mark,2021-06-24
147358,Eng_Inver_Coc,2021-06-24
147358,Kerala_AS,2021-06-23
147358,KTET,2021-06-24
147358,NET,2021-06-24
147750,Spoken_eng_hindi,2021-06-23
147964,Spoken_eng_hindi,2021-06-23
148271,kerala-psc,2021-06-24
148303,kerala-psc,2021-06-24
149264,kerala-psc,2021-06-24
149264,rrb,2021-06-24
149419,KTET,2021-06-24
149670,Apti_ess,2021-06-24
149901,spoken-english,2021-06-24
149989,KTET,2021-07-24
149989,Apti_ess,2021-06-24
150098,BANK-INS,2021-06-24
150098,Spoken_eng_hindi,2021-06-24
150634,Spoken_eng_hindi,2021-06-24
150909,spoken-english,2021-06-24
151341,Spoken_eng_hindi,2021-06-24
151840,Spoken_eng_hindi,2021-06-24
152164,spoken-english,2021-06-24
152164,Youtube_telugu,2021-06-24
152458,spoken-english,2021-06-27
152458,Anb_eng,2021-06-24
152621,spoken-english,2021-06-24
153438,kerala-psc,2021-06-25
153438,CDP_SKSSF,2021-06-26
153686,Spoken_eng_hindi,2021-06-25
153799,Spoken_eng_hindi,2021-06-25
154365,TNPSC,2021-06-25
154650,BANK-INS,2021-06-25
154650,Group_2_2A,2021-07-08
154650,TNPSC,2021-06-25
154668,kerala-psc,2021-06-25
154668,ENTRI_GOLD,2021-06-25
154857,SE_Junior,2021-06-25
154857,karnataka-psc,2021-06-25
154908,TSPSC,2021-06-25
154908,Group_1,2021-06-29
154908,APPSC,2021-06-29
154944,KPSC_Driver,2021-06-25
156344,Spoken_eng_hindi,2021-06-25
156724,Spoken_eng_hindi,2021-06-25
157324,Spoken_eng_hindi,2021-06-25
157791,Spoken_eng_hindi,2021-06-25
158909,spoken-english,2021-06-26
159497,kerala-psc,2021-06-26
159497,Eng_Inver_Coc,2021-06-26
159777,SE_Junior,2021-06-26
159948,TNPSC,2021-06-26
160003,Spoken_eng_hindi,2021-06-26
160003,GATE-Electrical,2021-06-26
160547,BANK-INS,2021-06-26
161143,spoken-english,2021-06-26
161143,SE_Junior,2021-06-29
161143,rrb,2021-06-29
161490,Spoken_eng_hindi,2021-06-26
161619,Spoken_eng_hindi,2021-06-26
161864,spoken-english,2021-06-26
162133,spoken-english,2021-06-26
163179,Spoken_eng_hindi,2021-06-26
163179,Apti_ess,2021-06-26
165380,spoken-english,2021-06-27
166466,BANK-INS,2021-06-27
166786,BANK-INS,2021-06-27
166786,Spoken_eng_hindi,2021-06-27
166909,spoken-english,2021-06-27
167432,BANK-INS,2021-06-27
167684,Spoken_eng_hindi,2021-06-27
168195,spoken-english,2021-06-27
168195,Anb_eng,2021-06-27
168337,Spoken_eng_hindi,2021-06-28
168346,TSPSC,2021-06-28
168564,Digi_Mark,2021-06-28
168857,ssc,2021-06-28
168882,Spoken_eng_hindi,2021-06-28
168940,kerala-psc,2021-06-28
168940,CDP_SKSSF,2021-06-28
168940,K_HSA,2021-06-29
169264,spoken-english,2021-06-28
169432,Spoken_eng_hindi,2021-06-28
169928,spoken-english,2021-06-28
171072,PCB_Tech,2021-06-28
171072,kerala-psc,2021-06-28
171460,Spoken_eng_hindi,2021-06-28
171625,rrb,2021-06-28
171663,Spoken_eng_hindi,2021-06-28
171698,Spoken_eng_hindi,2021-06-28
171726,Spoken_eng_hindi,2021-06-28
171826,Stock_mar,2021-07-30
171826,Spoken_eng_hindi,2021-06-28
172862,Spoken_eng_hindi,2021-06-28
172873,karnataka-psc,2021-06-28
173408,Spoken_eng_hindi,2021-06-29
173584,Spoken_eng_hindi,2021-06-29
173886,spoken-english,2021-06-29
173886,kerala-psc,2021-06-29
173886,Eng_Inver_Coc,2021-06-29
174164,kerala-psc,2021-06-29
174169,BANK-INS,2021-07-03
174169,kerala-psc,2021-06-29
174169,Kerala_AS,2021-07-29
174489,spoken-english,2021-06-29
174794,TSPSC,2021-07-06
174794,spoken-english,2021-07-06
174794,APPSC,2021-06-29
174794,rrb,2021-07-06
174794,Tet,2021-07-06
175103,kerala-psc,2021-06-29
175103,KPSC_Driver,2021-06-30
175103,CDP_SKSSF,2021-06-29
175229,Spoken_eng_hindi,2021-06-29
175451,PCB_Tech,2021-07-12
175451,kerala-psc,2021-07-09
175451,KPSC_Driver,2021-06-29
175451,KTET,2021-07-14
175816,kerala-psc,2021-06-29
175816,CDP_SKSSF,2021-06-30
175823,Spoken_eng_hindi,2021-06-29
176025,spoken-english,2021-06-29
176025,SE_Junior,2021-06-29
176077,Spoken_eng_hindi,2021-06-29
